forks,open_issues,commit_count,size,age_days,days_since_push,days_since_update,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,lang_C,lang_C++,lang_Go,lang_Java,lang_JavaScript,lang_Jupyter Notebook,lang_Other,lang_Python,lang_Rust,lang_TypeScript,lang_Unknown,is_org,stars
0.12857173829372923,0.7194219008841155,-0.1534851817840142,-0.13855451809669925,-0.6773141915523193,-0.4681933042256164,-0.10032860224344674,1,1,1,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,1,100173
0.6090624761269431,0.004687653526877717,-0.11278175848192018,-0.1375740441711166,-1.5225223385692699,-0.4681933042256164,-0.10032860224344674,1,0,1,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,1,98392
0.011071399640744226,0.4706442260145085,-0.13697527436525583,-0.1059753369302915,-0.05966208411685537,-0.4632291595590669,-0.10032860224344674,1,1,1,1,0,1,0,False,True,False,False,False,False,False,False,False,False,False,1,98220
1.7099665499927488,0.42449997986933946,0.4280654711836586,0.1021397690355213,0.688022045936601,-0.4681933042256164,-0.10032860224344674,1,1,1,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,1,97767
1.3441853974784193,7.412343863505154,1.2396909437650072,0.6423782216763773,0.8696428601367316,-0.4681933042256164,-0.10032860224344674,1,1,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,1,97308
0.7050066510958424,-0.3178205015964233,-0.22612483411451798,-0.1874892265837885,-1.9635005022302876,-0.25969922823053726,-0.10032860224344674,1,1,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,1,97002
1.751635384257075,0.05384130702934038,0.04853461615387172,-0.07265208916535523,-0.540215211183349,-0.4681933042256164,-0.10032860224344674,1,0,1,0,1,0,0,False,False,False,False,False,False,False,False,False,True,False,1,96977
0.19160427049496198,-0.3529302540981823,-0.10385695172691117,-0.18379033643260193,0.5594034148688041,-0.4681933042256164,-0.10032860224344674,0,0,1,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,0,96514
2.3210452972871427,0.5097665216593258,0.30142384243929243,0.18045867531205131,0.7092229191895345,-0.4681933042256164,-0.10032860224344674,1,1,1,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,1,95691
0.3715597441076417,-0.2506104039501988,-0.01614560586973659,-0.07317154199963057,-1.6483141865366755,-0.4681933042256164,-0.10032860224344674,1,0,1,1,0,1,0,False,False,False,False,True,False,False,False,False,False,False,1,95566
4.228092153213599,0.2960985992914778,0.35349506595692776,-0.06836566515827003,0.5339623669652839,-0.4681933042256164,-0.10032860224344674,1,1,1,1,1,1,0,False,False,False,False,False,False,False,False,False,True,False,1,94685
0.5381388482913576,-0.32885499523983325,-0.2025026634759842,-0.17213776031429137,0.3636486851667177,-0.45826501489251736,-0.10032860224344674,1,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,0,94133
-0.4734611188832357,-0.20346302201926522,0.4066301737235046,0.27725648628445854,-0.3854488364369342,-0.4681933042256164,-0.10032860224344674,1,0,1,0,1,0,0,False,False,False,False,False,False,False,False,False,True,False,1,93861
-0.24000016755470038,-0.35894906881276956,-0.21010746569989916,-0.06469250641683083,0.8837767756386873,-0.38380284489427485,-0.10032860224344674,1,0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,1,93263
0.3823378259496846,-0.3047797363814842,-0.21666808523503825,-0.1881560989530749,0.1226654258583731,1.0011935170730366,-0.10032860224344674,1,1,1,1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,0,92948
-0.5381296099354929,0.20029913175096384,-0.11873162965192618,-0.13668684660586822,-0.5550558224604025,-0.4681933042256164,-0.10032860224344674,1,1,1,0,0,1,0,False,False,False,False,False,False,False,False,True,False,False,1,92701
