stars,forks,open_issues,commit_count,size,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,age_days,days_since_push,days_since_update,lang_C,lang_C++,lang_Go,lang_Java,lang_JavaScript,lang_Jupyter Notebook,lang_Other,lang_Python,lang_Rust,lang_TypeScript,lang_Unknown,is_org
64273,13643,8,3306,166070,1,1,1,1,0,1,0,1059,275,275,False,False,False,False,False,False,False,True,False,False,False,0
64251,3372,5473,719,6676,1,1,1,1,0,0,0,2687,280,275,False,False,False,False,False,False,False,False,False,False,True,0
64193,10497,48,1113,473105,1,0,1,0,0,0,0,1442,275,275,False,False,False,False,False,False,True,False,False,False,False,1
64149,12918,109,448,24462,1,1,1,1,0,0,0,3293,284,275,False,False,False,True,False,False,False,False,False,False,False,0
63928,9095,43,1374,4330,1,1,1,1,0,0,0,2445,565,275,False,False,False,False,False,False,False,False,False,False,True,0
63796,3602,2295,6328,97468,1,1,1,1,1,1,0,3346,280,275,False,False,False,False,False,False,False,False,False,True,False,0
63773,7974,415,1932,2501,1,0,1,0,1,1,0,4236,281,275,False,False,False,False,False,False,False,False,False,False,True,0
63717,7348,130,533,61632,1,1,1,1,1,1,0,1584,277,275,False,False,False,False,False,False,True,False,False,False,False,0
63572,19722,2094,9551,245532,1,1,1,1,0,0,0,4706,275,275,False,False,False,False,False,False,False,False,False,True,False,1
63194,12161,458,30,7803,1,0,1,0,0,0,0,1061,590,275,False,False,False,False,False,False,True,False,False,False,False,1
63180,10118,130,781,984,1,0,1,0,0,0,0,4110,464,275,False,False,False,False,False,False,False,False,False,False,True,1
63155,4257,989,7146,93514,1,1,1,0,0,1,0,1710,275,275,False,False,False,False,False,False,True,False,False,False,False,1
63059,4753,4542,4,5,1,1,1,1,0,0,0,2935,562,275,False,False,False,False,False,False,True,False,False,False,False,0
63010,19584,307,11524,46626,1,1,1,1,0,1,0,3982,275,275,False,False,False,False,False,False,False,True,False,False,False,1
62930,24351,5,4762,2218559,1,1,1,1,0,0,0,5115,275,275,False,False,False,False,False,False,True,False,False,False,False,0
62596,1626,240,1268,10185,1,1,1,0,0,1,0,2605,279,275,False,False,True,False,False,False,False,False,False,False,False,1
